0;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
1;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
2;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
3;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
4;1231;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;231235
5;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
5;1231;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;231235
6;12;12;12;12;12;12;12;12;12;12;12;12
8;123;1232;645342;24242;41242;23123;23412;3412;3424;1232;5323;23123
9;1;1;1;1;1;1;1;1;1;1;1;1
10;1;1;1;1;1;1;1;1;1;1;1;1
